Capacity_MW_,Latitude,Longitude,Albedo,MeanAAI,VegetationRatio,PopulationDensity,ProtectedAreaRatio,SlopeTopography,CloudCover,Surface Temperature,AverageDownwardRadiation,Unnamed: 12,Unnamed: 13,MinAlbedo,0,Unnamed: 16,AlbWeight,-2,Unnamed: 19,Cumulative Weight,Min,Normalised Cumulative Weight
0.357223287,46.4114,125.3286,246.036664,-0.268678867,0.019414747,0.118106291,0,0.075532174,0.485302047,3.233594091,12195463.23,,,MinMeanAAI,-1.432292248,,VegRatioWeight,-1,,-0.365645434,Max,0.0010751
0.357223287,46.4114,125.3286,246.036664,-0.268678867,0.019414747,0.118106291,0,0.075532174,0.485302047,3.233594091,12195463.23,,,MaxMeanAAI,1.934187215,,PopWeight,-1.5,,-0.365645434,12.18651454,0.0010751
0.357223287,46.4114,125.3286,246.036664,-0.268678867,0.019414747,0.118106291,0,0.075532174,0.485302047,3.233594091,12195463.23,,,MinVegRatio,0,,ProtectedAreaWeight,-2,,-0.365645434,,0.0010751
0.357223287,48.0498,124.6217,246.036664,-0.268678867,0.019414747,0.118106291,0,0.075532174,0.485302047,3.233594091,12195463.23,,,MaxVegRatio,0.732661618,,SlopeTopWeight,1,,0.379616199,,0.060384447
0.391627412,36.054,114.051,278.1404961,-0.155659539,0.03086323,159.1366485,0,0.136165366,0.527240608,6.052133741,12581378.36,,,MinPopDensity,0,,CloudCoverWeight,2,,-0.121547626,,0.020500871
0.340059305,47.2275,122.8665,291.7809095,-0.103952174,0.017490942,12175.40592,0,0.114944212,0.498371531,6.44000417,12077941.19,,,MaxPopDensity,46827.16593,,SurfTempWeight,5,,-0.220126536,,0.012655773
0.412504007,46.4271,123.6,202.8228762,-0.300745752,0,1.276830148,0,0.063045211,0.480076578,6.715365311,12468121.86,,,MinProtectedArea,0,,DownRadWeight,7,,4.235643986,,0.367254513
0.18690945,-29.9619,-71.2798,145.2891399,-0.247945184,0.485632134,6.697049181,0,0.264026403,0.372513261,7.131513484,6031084.184,,,MaxProtectedArea,1,,,,,4.780639183,,0.410626274
0.18690945,-28.5772,-70.7591,145.2891399,-0.247945184,0.485632134,6.697049181,0,0.264026403,0.372513261,7.131513484,6031084.184,,,MinSlopeTop,0,,,,,-0.172483129,,0.016447326
0.18690945,-28.5746,-70.7612,145.2891399,-0.247945184,0.485632134,6.697049181,0,0.264026403,0.372513261,7.131513484,6031084.184,,,MaxSlopeTop,1.645741343,,,,,4.810630168,,0.413013014
0.409590736,48.4448,124.828,288.5557881,-0.179919364,0.010152137,67.51123442,0,0.072996244,0.525517742,7.521679167,12873562.48,,,MinCloudCover,0.106214157,,,,,-0.325321691,,0.004284141
0.414027412,48.4098,124.8242,287.1316665,-0.117231665,0.022120124,61.25332702,0,0.072996244,0.51856756,7.813701808,13033367.54,,,MaxCloudCover,0.956667001,,,,,-0.379154789,,0
0.403122314,48.4812,124.8768,299.8886561,-0.150733848,0,733.6453874,0,0.072996244,0.507453551,7.828244287,12830041.86,,,MinSurfTemp,3.233594091,,,,,-0.166161363,,0.016950424
0.535482604,-16.4318,-73.1032,288.31352,-0.163094657,0,2.364482178,0,1.01418376,0.617275811,8.180188448,14824025.48,,,MaxSurfTemp,46.14193721,,,,,4.826271915,,0.414257814
